word,phon_klattese,nSyll,polysyll,nonInitialPrimaryStress,SUBTLwf,#NAME?,SUBTLWF0to10,fam,conc,imag
blows,bloˈz,1,0,0,15.54901961,-0.004136128,9.958638719,,,
blue,bluˈ,1,0,0,102.3921569,-9.54E-05,9.99904618,593,459,569
blueberries,bluˈ-bEˌ-riz,3,1,0,1.078431373,-0.859834711,1.401652893,,,
blueberry,bluˈ-bEˌ-ri,3,1,0,2.568627451,-0.151564594,8.484354059,,,
blueprint,bluˈ-prIˌnt,2,0,0,1.235294118,-0.655328798,3.446712018,,,
blueprints,bluˈ-prIˌnts,2,0,0,2.62745098,-0.144854088,8.551459122,,,
blues,bluˈz,1,0,0,10.25490196,-0.009509047,9.904909534,,,
bluff,bl^ˈf,1,0,0,6.215686275,-0.02588343,9.7411657,,,
bluffing,bl^ˈ-fIG,2,0,0,5.039215686,-0.039379854,9.606201456,,,
blume,bluˈm,1,0,0,1.117647059,-0.800554017,1.994459834,,,
blunt,bl^ˈnt,1,0,0,4.901960784,-0.041616,9.58384,434,,404
blur,blRˈ,1,0,0,2.137254902,-0.218920966,7.810790338,,,
blurry,blRˈ-i,2,0,0,1.37254902,-0.530816327,4.691836735,,,
blush,bl^ˈS,1,0,0,2.666666667,-0.140625,8.59375,535,465,551
blushing,bl^ˈ-SIG,2,0,0,2,-0.25,7.5,,,
bo,boˈ,1,0,0,14.54901961,-0.004724246,9.952757536,,,
boa,boˈ-^,2,0,0,1.294117647,-0.597107438,4.02892562,,,
boar,bcˈr,1,0,0,2.176470588,-0.211102995,7.888970051,455,558,524
board,bcˈrd,1,0,0,64.15686275,-0.000242948,9.997570518,546,565,592
boarded,bcˈr-d^d,2,0,0,2.078431373,-0.231488074,7.68511926,,,
boarding,bcˈr-dIG,2,0,0,11.05882353,-0.008176777,9.918232232,,,
boards,bcˈrdz,1,0,0,4.352941176,-0.052775749,9.472242513,,,
boardwalk,bcˈrd-wcˌk,2,0,0,1.843137255,-0.294363966,7.056360344,,,
boast,boˈst,1,0,0,1.058823529,-0.891975309,1.080246914,491,295,416
boat,boˈt,1,0,0,95.78431373,-0.000108996,9.998910038,584,637,631
boating,boˈ-tIG,2,0,0,1.019607843,-0.961908284,0.38091716,519,494,533
boats,boˈts,1,0,0,11.74509804,-0.007249144,9.927508563,,,
bob,baˈb,1,0,0,91.49019608,-0.000119468,9.998805322,,,
bobbie,baˈ-bi,2,0,0,3.196078431,-0.097896044,9.021039557,,,
bobby,baˈ-bi,2,0,0,69.54901961,-0.000206737,9.997932631,,,
bobo,boˈ-bo,2,0,0,2.823529412,-0.125434028,8.745659722,,,
boca,boˈ-k^,2,0,0,1.294117647,-0.597107438,4.02892562,,,
bodies,baˈ-diz,2,0,0,33.21568627,-0.000906387,9.990936133,,,
bodily,baˈ-d^-li,3,1,0,2.117647059,-0.222993827,7.770061728,,,
body,baˈ-di,2,0,0,195.5294118,-2.62E-05,9.999738437,610,568,614
bodyguard,baˈ-di-gaˌrd,3,1,0,5.725490196,-0.030505254,9.694947457,,,
bodyguards,baˈ-di-gaˌrdz,3,1,0,2.431372549,-0.169159729,8.308402706,,,
bogart,boˈ-gaˌrt,2,0,0,1.254901961,-0.635009766,3.649902344,,,
bogey,boˈ-gi,2,0,0,2.490196078,-0.161262323,8.387376775,,,
bogus,boˈ-g^s,2,0,0,2.705882353,-0.13657845,8.634215501,,,
boil,bOˈl,1,0,0,5.941176471,-0.028330556,9.716694442,533,467,533
boiled,bOˈld,1,0,0,3.31372549,-0.09106824,9.089317601,,,
boiler,bOˈ-lR,2,0,0,2.823529412,-0.125434028,8.745659722,,,
boiling,bOˈ-lIG,2,0,0,4.215686275,-0.056268253,9.437317469,,,
boils,bOˈlz,1,0,0,2,-0.25,7.5,,,
bold,boˈld,1,0,0,7.549019608,-0.017547647,9.824523528,,,
bologna,b^-loˈ-ni,3,1,1,1.941176471,-0.265381084,7.346189164,,,
bolt,boˈlt,1,0,0,6.882352941,-0.021111842,9.788881584,466,556,551
bolted,boˈl-t^d,2,0,0,1.901960784,-0.276437454,7.235625465,,,
bolts,boˈlts,1,0,0,2.176470588,-0.211102995,7.888970051,,,
bom,baˈm,1,0,0,1.450980392,-0.474981738,5.250182615,,,
bomb,baˈm,1,0,0,53.64705882,-0.000347463,9.996525373,566,595,606
bombay,bam-beˈ,2,0,1,2.294117647,-0.190006575,8.099934254,,,
bombed,baˈmd,1,0,0,3.862745098,-0.067020536,9.329794635,,,
bomber,baˈ-mR,2,0,0,4.196078431,-0.056795353,9.432046467,,,
bombers,baˈ-mRz,2,0,0,3.137254902,-0.101601563,8.983984375,,,
bombing,baˈ-mIG,2,0,0,7.490196078,-0.017824347,9.821756531,,,
bombings,baˈ-mIGz,2,0,0,1.215686275,-0.676638918,3.233610822,,,
bombs,baˈmz,1,0,0,14.2745098,-0.004907695,9.950923047,,,
bon,baˈn,1,0,0,5.803921569,-0.029686359,9.703136413,,,
bona,boˈ-n^,2,0,0,1.235294118,-0.655328798,3.446712018,,,
bonanza,b^-n@ˈn-z^,3,1,1,1.62745098,-0.377558426,6.224415735,,,
bond,baˈnd,1,0,0,31.2745098,-0.001022396,9.989776044,454,403,380
bondage,baˈn-dIJ,2,0,0,1.705882353,-0.343638526,6.563614744,,,
bonded,baˈn-d^d,2,0,0,1.568627451,-0.40640625,5.9359375,,,
bonding,baˈn-dIG,2,0,0,3.039215686,-0.108262227,8.917377732,,,
bonds,baˈndz,1,0,0,6.666666667,-0.0225,9.775,,,
bone,boˈn,1,0,0,26.05882353,-0.001472619,9.98527381,541,588,567
boner,boˈ-nR,2,0,0,2.333333333,-0.183673469,8.163265306,,,
bones,boˈnz,1,0,0,30.60784314,-0.001067418,9.989325819,,,
bonfire,baˈn-fYˌ-R,3,1,0,1.745098039,-0.32836763,6.716323697,,,
bong,baˈG,1,0,0,2.784313725,-0.128992263,8.710077366,,,
bongo,baˈG-goˌ,2,0,0,2.68627451,-0.138579573,8.614204273,,,
bonjour,b^n-ZUˈr,2,0,1,4.588235294,-0.047501644,9.524983563,,,
bonkers,baˈG-kRz,2,0,0,1.117647059,-0.800554017,1.994459834,,,
bonnet,baˈ-n^t,2,0,0,1.862745098,-0.288199446,7.11800554,,,
bonnie,baˈ-ni,2,0,0,13.64705882,-0.005369352,9.94630648,,,
bonny,baˈ-ni,2,0,0,1.862745098,-0.288199446,7.11800554,,,
bono,boˈ-no,2,0,0,2.039215686,-0.240477071,7.59522929,,,
bonus,boˈ-n^s,2,0,0,9.196078431,-0.011824823,9.881751765,539,,397
bony,boˈ-ni,2,0,0,1.196078431,-0.699005644,3.009943564,,,
boo,buˈ,1,0,0,11.68627451,-0.007322305,9.926776947,,,
boob,buˈb,1,0,0,3,-0.111111111,8.888888889,,,
boobs,buˈbz,1,0,0,7.333333333,-0.018595041,9.814049587,,,
booby,buˈ-bi,2,0,0,2.529411765,-0.156300703,8.436992969,,,
boogie,buˈ-gi,2,0,0,5.196078431,-0.037038092,9.629619082,,,
booing,buˈ-IG,2,0,0,1,-1,0,,,
book,bUˈk,1,0,0,176.9803922,-3.19E-05,9.999680736,643,609,591
booked,bUˈkt,1,0,0,10.41176471,-0.00922468,9.9077532,,,
booker,bUˈk-R,2,0,0,2,-0.25,7.5,,,
bookie,bUˈk-i,2,0,0,2.549019608,-0.153905325,8.460946746,,,
booking,bUˈ-kIG,2,0,0,2.274509804,-0.193296671,8.067033294,,,
bookkeeper,bUˈk-kiˌ-pR,3,1,0,1.274509804,-0.615621302,3.843786982,,,
books,bUˈks,1,0,0,67.76470588,-0.000217767,9.997822326,,,
bookstore,bUˈk-stcˌr,2,0,0,3.921568627,-0.065025,9.34975,,,
boom,buˈm,1,0,0,21.80392157,-0.002103443,9.978965569,,,
boomer,buˈ-mR,2,0,0,2.431372549,-0.169159729,8.308402706,,,
booming,buˈ-mIG,2,0,0,1.039215686,-0.925952296,0.740477038,,,
boon,buˈn,1,0,0,2.117647059,-0.222993827,7.770061728,,,
boost,buˈst,1,0,0,4.509803922,-0.049168242,9.50831758,,,
booster,buˈ-stR,2,0,0,2.647058824,-0.142716049,8.572839506,,,
boot,buˈt,1,0,0,11.1372549,-0.008062016,9.919379835,566,595,604
booth,buˈT,1,0,0,20.37254902,-0.002409402,9.975905981,444,556,486
booths,buˈTs,1,0,0,1.117647059,-0.800554017,1.994459834,,,
boots,buˈts,1,0,0,19.15686275,-0.002724904,9.972750959,,,
booty,buˈ-ti,2,0,0,6.137254902,-0.026549215,9.734507855,,,
booze,buˈz,1,0,0,10.94117647,-0.008353567,9.916464331,,,
bop,baˈp,1,0,0,1.843137255,-0.294363966,7.056360344,,,
bora,bcˈ-r^,2,0,0,1.137254902,-0.773186683,2.268133175,,,
